ability_id,ability_short_effect_markup,ability_short_effect_html
138,Increases {Special Attack;STAT;SPATK} to 1.5x when {burned;STATUS;burn}.,"Increases <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 1.5x when <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burned</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>."
139,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.
140,Protects against friendly Pokémon's damaging moves.,Protects against friendly Pokémon's damaging moves.
141,Raises a random {stat;STAT;STATS} two stages and lowers another one stage after each turn.,"Raises a random <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">stat</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_stats.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> two stages and lowers another one stage after each turn."
142,Protects against damage from {weather;WEATHER;WEATHER}.,"Protects against damage from <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">weather</span><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/weather_weather.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
143,Has a 30% chance of {poisoning;STATUS;poison} target Pokémon upon contact.,"Has a 30% chance of <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoning</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> target Pokémon upon contact."
144,"Heals for <span style=""font-size: 1.3rem"">⅓</span> max {HP;STAT;HP} upon switching out.","Heals for <span style=""font-size: 1.3rem"">⅓</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> upon switching out."
145,Protects against {Defense;STAT;DEFENSE} drops.,"Protects against <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Defense</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_defense.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> drops."
146,Doubles {Speed;STAT;SPEED} during a {sandstorm;WEATHER;SANDSTORM}. Protects against sandstorm damage.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> during a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Protects against sandstorm damage."
147,Lowers incoming non-damaging moves' base {accuracy;STAT;ACCURACY} to exactly 50%.,"Lowers incoming non-damaging moves' base <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">accuracy</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_accuracy.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to exactly 50%."
148,Strengthens moves to 1.3x their power when moving last.,Strengthens moves to 1.3x their power when moving last.
149,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.
150,{Transforms;MOVE;transform} upon entering battle.,"<a href=""/moves/transform"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Transforms</span></a> upon entering battle."
151,"Bypasses {Light Screen;MOVE;light-screen}, {Reflect;MOVE;reflect}, and {Safeguard;MOVE;safeguard}.","Bypasses <a href=""/moves/light-screen"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Light Screen</span></a>, <a href=""/moves/reflect"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Reflect</span></a>, and <a href=""/moves/safeguard"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Safeguard</span></a>."
152,Changes attacking Pokémon's abilities to Mummy on contact.,Changes attacking Pokémon's abilities to Mummy on contact.
153,Raises {Attack;STAT;ATTACK} one stage upon KOing a Pokémon.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage upon KOing a Pokémon."
154,Raises {Attack;STAT;ATTACK} one stage upon taking damage from a {DARK;TYPE;Dark}-type move.,"Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage upon taking damage from a <span style=""background-color: #705848; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Dark"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/3d030dfd23d2193cede25996116d4a6facfcc9f4dd4a95f62e868c1691aac82c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Dark""><span style=""color: rgb(255, 255, 255);"">Dark</span></a></span>-type move."
155,"Raises {Speed;STAT;SPEED} one stage upon being hit by a {DARK;TYPE;Dark}, {GHOST;TYPE;Ghost}, or {BUG;TYPE;Bug} move.","Raises <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage upon being hit by a <span style=""background-color: #705848; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Dark"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/3d030dfd23d2193cede25996116d4a6facfcc9f4dd4a95f62e868c1691aac82c"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Dark""><span style=""color: rgb(255, 255, 255);"">Dark</span></a></span>, <span style=""background-color: #6C436E; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ghost"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9466a004c5a0de9f165a87f3d6c7b6137ec1e333d6189b75a629da994fdfcecc"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ghost""><span style=""color: rgb(255, 255, 255);"">Ghost</span></a></span>, or <span style=""background-color: #95A235; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Bug"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/53409a157ce97a970830367f1d5933a7f1b3d074d005a4808161c275b5580fc2"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Bug""><span style=""color: rgb(255, 255, 255);"">Bug</span></a></span> move."
156,Reflects most non-damaging moves back at their user.,Reflects most non-damaging moves back at their user.
157,"Absorbs {GRASS;TYPE;Grass} moves, raising {Attack;STAT;ATTACK} one stage.","Absorbs <span style=""background-color: #5D9D3C; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Grass"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/d1c40533dc3440c6de38570b0296777064cdacdc3df3f9f6bdf4f236a7c15be8"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Grass""><span style=""color: rgb(255, 255, 255);"">Grass</span></a></span> moves, raising <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage."
158,Raises non-damaging moves' priority by one stage.,Raises non-damaging moves' priority by one stage.
159,"Strengthens {ROCK;TYPE;Rock}, {GROUND;TYPE;Ground}, and {STEEL;TYPE;Steel} moves to 1.3x their power during a {sandstorm;WEATHER;SANDSTORM}. Protects against sandstorm damage.","Strengthens <span style=""background-color: #ADAA84; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Rock"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/34f84e828d82845b2ec45163214d91bccd96459edc329381349bbf88a31f3297"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Rock""><span style=""color: rgb(255, 255, 255);"">Rock</span></a></span>, <span style=""background-color: #89532A; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ground"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ground""><span style=""color: rgb(255, 255, 255);"">Ground</span></a></span>, and <span style=""background-color: #4D3F3F; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Steel"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Steel""><span style=""color: rgb(255, 255, 255);"">Steel</span></a></span> moves to 1.3x their power during a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>. Protects against sandstorm damage."
160,"Damages attacking Pokémon for <span style=""font-size: 1.3rem"">⅛</span> their max {HP;STAT;HP} on contact.","Damages attacking Pokémon for <span style=""font-size: 1.3rem"">⅛</span> their max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> on contact."
161,"Changes {Darmanitan;POKEMON;darmanitan}'s form after each turn depending on its {HP;STAT;HP}: Zen Mode below 50% max {HP;STAT;HP}, and Standard Mode otherwise.","Changes <a href=""/pokemon/darmanitan"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Darmanitan</span><img src=""https://cdn.pokedb.org/cfb39768939b8dff7070c8bee2c62e2ed39883111766e2db2afbd2c81248e874w40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Darmanitan"" style=""width: 20px; height: 20px""></a>'s form after each turn depending on its <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>: Zen Mode below 50% max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>, and Standard Mode otherwise."
